time,lon,lag,mag
1388549145310,-116.3398333,33.3461667,0.82
1388549099000,-150.8233,60.9652,1.7
1388548556360,-122.1718333,37.258,0.36
1388548285340,-116.9896667,33.9291667,1.03
1388548235677,-116.2841,37.1692,-0.9
1388548201000,-152.3312,61.8953,1.9
1388547583770,-167.004,52.074,2.9
1388547560150,-118.8248333,37.5196667,0.57
1388547521557,-116.9816,37.4496,0.9
1388547353430,-117.5881667,34.2061667,1.01
1388547285170,-118.8248333,37.5208333,0.4
1388547270150,-123.5745,39.9083333,1.05
1388547229000,-151.6716,61.4525,2
1388547180560,-92.2601667,35.5751667,1.9
1388547047290,-119.3518333,37.6336667,1.32
1388546917260,-116.4928333,33.4846667,0.39
1388546906550,-118.8255,37.5188333,0.69
1388546413460,127.7639,-6.9955,4.1
1388546291670,-122.8141632,38.8118324,0.43
1388546175270,-122.803833,38.8328323,0.43
1388546075940,-122.805,38.8273333,1.46
1388545895000,-111.2093333,44.7421667,0.7
1388545763820,-118.5758333,34.3006667,1.42
1388545621350,-122.7320023,38.7626648,0.59
1388545553310,-122.7958298,38.8136673,0.75
1388545549070,-119.3588333,37.6083333,1.13
1388545065730,165.2649,-11.0957,4.1
1388544876470,-122.8033333,38.8345,0.45
1388544550600,-114.7478,47.8913,1.9
1388544548500,-114.9191,47.931,1.6
1388544510990,-119.3536667,37.6128333,1.14
1388544320000,-150.8849,62.9178,1.6
1388544097350,-119.3356667,37.601,1.15
1388543620830,-122.8105011,38.8256683,0.56
1388543510107,-115.9912,37.0014,-0.6
1388543472000,-151.2407,61.7883,1.9
1388543310478,-118.0714,38.0405,1.1
1388543034150,-122.8248367,38.8214989,1.01
1388542632000,-141.1617,61.5597,2.3
1388542581940,-120.6138333,36.0483333,1.26
1388542369450,-122.7708333,38.831,0.23
1388541642000,-116.0813333,33.225,2.4
1388541530200,-155.4777,19.2765,2.5
1388541494200,-155.0803,19.3297,2.5
1388541160010,-122.817337,38.8286667,0.45
1388540766560,-122.8016663,38.8370018,0.43
1388540668430,-122.8031693,38.8336678,1.05
1388540337550,-121.5533333,40.2953333,0.55
1388539667160,-112.5171667,42.1251667,2.19
1388539582990,120.5772,19.1486,4.3
1388539383150,-162.828,53.695,2.9
1388538507220,152.821,-6.2115,4.2
1388538268330,-116.3898333,33.3876667,0.58
1388538057000,-152.153,60.5389,1.8
1388537642000,-167.8779,52.43,2.3
1388537639130,-116.4728333,33.4625,0.1
1388537221000,-144.7522,63.236,1.3
1388536764680,-122.5188333,46.0926667,0.22
1388536602470,-122.7776642,38.8320007,1.07
1388536590200,-155.0353,19.3247,2.1
1388535883000,-153.0184,60.0872,2
1388535010970,-122.8435,38.8216667,0.57
1388534755060,-122.7498333,44.408,2.2
1388534728830,-175.5282,-18.4965,4.5
1388534476610,120.2389,19.0868,5.1
